ano;GEOCODIGO;cidade;rede;educacao_infantil;anos_iniciais;anos_finais;ensino_fundamental;ensino_medio;eja_fundamental;eja_medio
2021;4305173;CERRO GRANDE DO SUL;Total;65.4;44.8;45;44.9;56.3;0;0
2021;4305207;CERRO LARGO;Total;50.8;71.2;63.3;67.5;70.3;16.7;0
2021;4305306;CHAPADA;Total;65.3;56.9;51.4;55.1;65;12.1;0
2021;4305355;CHARQUEADAS;Total;53.9;59.3;59.3;59.3;73.4;43.2;56.5
2021;4305371;CHARRUA;Total;52.4;49.4;63.9;57.7;45.5;62.5;46.2
2021;4305405;CHIAPETTA;Total;50;85.1;76.3;81.1;69.1;50;50
2021;4305439;CHUÍ;Total;88.5;71.1;88.4;80.3;77.4;72.7;0
2021;4305447;CHUVISCA;Total;90.9;59.6;64.7;61.9;63.5;45.5;50
2021;4305454;CIDREIRA;Total;56.7;68.1;81.8;73.4;62.2;54.7;62.8
2021;4305504;CIRÍACO;Total;77.8;78.1;48.6;62.5;67.5;0;42.9
2021;4305587;COLINAS;Total;25;69.6;69;69.4;43.2;0;0
2021;4305603;COLORADO;Total;90;58.4;70.9;66.1;64.1;0;53.3
2021;4305702;CONDOR;Total;30;59.4;67.9;64;71.6;0;0
2021;4305801;CONSTANTINA;Total;41.8;90.7;53.8;68.1;60.5;17.2;0
2021;4305835;COQUEIRO BAIXO;Total;55.6;71.9;50;61.5;52.6;0;0
2021;4305850;COQUEIROS DO SUL;Total;76.9;57.8;52.1;54.5;37.8;0;0
2021;4305871;CORONEL BARROS;Total;75;72.5;88.9;79.1;61.5;0;0
2021;4305900;CORONEL BICACO;Total;38.5;21.5;63.6;35.2;68.5;14.5;0
2021;4305934;CORONEL PILAR;Total;66.7;42.5;50;46.3;46.2;0;0
2021;4305959;COTIPORÃ;Total;59;53.6;78;64.5;48.6;0;0
2021;4305975;COXILHA;Total;78.3;86.8;73.6;81;65.7;0;0
2021;4306007;CRISSIUMAL;Total;34.8;64;65.6;65;85.3;12.5;0
2021;4306056;CRISTAL;Total;46.2;70.7;77.7;74.2;80.2;75;68
2021;4306072;CRISTAL DO SUL;Total;18.2;18.5;50;35;63.8;0;0
2021;4306106;CRUZ ALTA;Total;47.4;69.7;61.7;65.9;65.8;41.1;63
2021;4306130;CRUZALTENSE;Total;33.3;97.2;56.8;74.7;55.3;77.8;53.3
2021;4306205;CRUZEIRO DO SUL;Total;63.5;75;52.2;62.5;61.7;0;0
2021;4306304;DAVID CANABARRO;Total;91.3;81.1;44.2;57.3;62.2;40;40
2021;4306320;DERRUBADAS;Total;80;32.1;53.2;46.7;63.2;0;0
2021;4306353;DEZESSEIS DE NOVEMBRO;Total;75;100;34.2;46.7;57.1;0;0
2021;4306379;DILERMANDO DE AGUIAR;Total;87.5;86.7;80.2;82.8;63.3;80;58.8
2021;4306403;DOIS IRMÃOS;Total;48.7;29.2;76.9;38.4;85.1;0;0
2021;4306429;DOIS IRMÃOS DAS MISSÕES;Total;27.3;56.9;51.2;54.3;59.3;0;0
2021;4306452;DOIS LAJEADOS;Total;87.5;89.4;54;74.1;43.2;0;0
2021;4306502;DOM FELICIANO;Total;90.1;74.5;75.9;75;63;77.8;60
2021;4306551;DOM PEDRO DE ALCÂNTARA;Total;85.7;84.3;67.1;72.6;92.6;0;0
2021;4306601;DOM PEDRITO;Total;43;56.9;52.9;54.7;57.5;74.4;44.8
2021;4306700;DONA FRANCISCA;Total;52;70.8;51.9;63.5;64.1;60;0
2021;4306734;DOUTOR MAURÍCIO CARDOSO;Total;81.8;79.5;88.9;83.8;53;0;0
2021;4306759;DOUTOR RICARDO;Total;25;90;42.9;59;41.7;0;0
2021;4306767;ELDORADO DO SUL;Total;60;62.7;59.1;61.1;60.8;39.3;54.5
2021;4306809;ENCANTADO;Total;44.9;70.5;59.5;65.1;63.7;11.1;0
2021;4306908;ENCRUZILHADA DO SUL;Total;23.7;54.8;72.3;63.3;71.9;60;73.3
2021;4306924;ENGENHO VELHO;Total;8;68;55.4;61.3;65.9;0;0
2021;4306932;ENTRE-IJUÍS;Total;58.4;76.6;50.7;59.3;65.6;0;0
2021;4306957;ENTRE RIOS DO SUL;Total;75;55.7;60.5;57.9;55.3;0;0
2021;4306973;EREBANGO;Total;60.9;86.9;68.3;77.4;73;0;0
2021;4307005;ERECHIM;Total;70.1;70.8;62.6;67;70.6;37.2;43.9
2021;4307054;ERNESTINA;Total;50.7;80.9;56.4;70.7;71.4;0;0
2021;4307104;HERVAL;Total;70.6;63.9;41.4;49.5;61.1;40;0
2021;4307203;ERVAL GRANDE;Total;82.9;84.5;64.6;73;56.2;0;0
2021;4307302;ERVAL SECO;Total;33.3;49.8;35.6;41.9;38.1;10;35.7
2021;4307401;ESMERALDA;Total;100;78.6;66.7;72.6;62.3;0;0
2021;4307450;ESPERANÇA DO SUL;Total;68.2;72.1;70.1;71.2;76.9;0;0
2021;4307500;ESPUMOSO;Total;44.2;65.1;70.5;67.6;68.4;25;0
2021;4307559;ESTAÇÃO;Total;60.7;87.8;61.8;68.9;58.5;0;0
2021;4307609;ESTÂNCIA VELHA;Total;61.4;85.9;76.6;81.7;79.7;46.8;0
